lat,lon,address,features,price,gender,listed,expires
39.96072926,-75.20888378,4521 Mandela Way, Kitchen Furnished Laundry A/C Party Space Pet-Friendly Alarm System,850, Female-only, Female-only, 29 days 3 hours
39.96141315,-75.20318958,4020 Spring Garden St, Parking Kitchen Furnished Laundry A/C Party Space Pet-Friendly,875, Either, Either, 28 days 1 hour
39.95906721,-75.22512047,26-30 S 52nd St, A/C Kitchen Parking Furnished Laundry Party Space Pet-Friendly Alarm System Handicap Accessible,590, Either, Either, 23 days 10 hours
39.95105047,-75.22665148,5150 Hazel Ave, Kitchen Furnished Laundry A/C Party Space Alarm System,650, Either, Either, 22 days 22 hours
39.95418465,-75.21930147,4801 Spruce St, Kitchen Furnished Laundry A/C Party Space Alarm System,975, Either, Either, 21 days 10 hours
39.95323408,-75.22616115,401-421 S 52nd St, Kitchen Parking Furnished Laundry A/C Party Space Pet-Friendly,Negotiable, Either, Either, 20 days 8 hours
39.95665691,-75.21487014,4631 Sansom St, Kitchen Parking Furnished Laundry A/C Party Space,850, Either, Either, 18 days 8 hours
39.95544466,-75.21445022,4620 Walnut St, Kitchen Laundry Party Space,700, Female-only, Female-only, 16 days 10 hours
39.96190084,-75.19448479,3603 Hamilton St, Kitchen Parking Furnished Laundry A/C Party Space Alarm System,700, Either, Either, 15 days 22 hours
39.95545995,-75.19749248,3717 Chestnut St, Kitchen Furnished Laundry A/C,700+Utilities, Either, Either, 15 days 11 hours
39.95808535,-75.22798046,5317-5327 Sansom St, Kitchen Furnished A/C,400, Female-only, Female-only, 15 days 9 hours
39.94920092,-75.20061965,400-438 Baltimore Ave, Party Space A/C Laundry Furnished Kitchen,800, Female-only, Female-only, 14 days 15 hours
39.9610518,-75.21440575,48 N 46th St,,500/month,,, 14 days 12 hours
39.95263544,-75.20148846,3962-3976 Locust Walk, Kitchen Parking Furnished Laundry A/C Party Space Pet-Friendly Handicap Accessible,850, Female-only, Female-only, 13 days
39.96190382,-75.22412105,111 N 52nd St, Kitchen Furnished Laundry Party Space,700 (Negotiable), Either, Either, 10 days 16 hours
39.9603571,-75.20836712,4521 Mandela Way, Alarm System Pet-Friendly Party Space A/C Laundry Furnished Kitchen,1100, Either, Either, 10 days
39.94775293,-75.20901465,602-626 S 43rd St, Furnished Laundry A/C Kitchen,450, Either, Either, 9 days 1 hour
39.95308811,-75.22792818,5250 Osage Ave, Laundry Furnished Kitchen,550, Either, Either, 8 days 12 hours
39.96170636,-75.21990383,128 N 49th St, Kitchen Parking Furnished Laundry A/C Party Space Alarm System,700, Either, Either, 7 days 7 hours
39.95983253,-75.19800848,128 N 49th St,,655,,, 3 days 3 hours
39.95488118,-75.20250945,128 N 49th St, Kitchen Parking Furnished Laundry A/C Alarm System,350, Either, Either, 2 days 5 hours
39.95719258,-75.20322593,4030 Market St, Laundry A/C Party Space Pet-Friendly Alarm System Furnished Kitchen,750, Male-only, Male-only, 1 day 7 hours
39.95777912,-75.20298475,4030 Filbert St, Furnished Alarm System Party Space A/C Laundry Kitchen,600, Either, Either, 1 day 7 hours
39.94824109,-75.22599629,5114 Webster St,,1965,,, 1 day 3 hours
39.95091821,-75.21430304,433 S 46th St, Furnished Laundry Party Space Kitchen,540, Either, Either, 13 hours 34 mins
39.95963706,-75.22383774,5122 Market St, Kitchen Parking Laundry A/C Furnished,657, Either, Either, 7 hours 48 mins
39.94881432,-75.20852548,4213 Chester Ave, Kitchen Furnished Laundry A/C Party Space Alarm System Handicap Accessible,1325/month, Male-only, Male-only, 67 days 8 hours
39.95673113,-75.20102487,3900 Market St, A/C Furnished Parking,490, Male-only, Male-only, 79 days 9 hours
39.95826877,-75.19260252,3505 Lancaster Ave, Alarm System Pet-Friendly Party Space A/C Laundry Furnished Kitchen,1100, Either, Either, 10 days
39.96005972,-75.20721475,350 N 42nd St, Kitchen Furnished Laundry A/C,740, Either, Either, 58 days 16 hours
39.95337027,-75.22017461,301-309 S 49th St, Kitchen Furnished Laundry A/C,700+Utilities, Either, Either, 15 days 11 hours
39.95598271,-75.21072372,4425 Sansom St, Handicap Accessible Pet-Friendly Party Space A/C Laundry Furnished Kitchen Parking,810, Either, Either, 34 days
39.95110657,-75.19255904,250-264 S 34th St, Kitchen Furnished Laundry A/C,740, Either, Either, 58 days 16 hours
39.96032405,-75.1919427,3421 Powelton Ave, Laundry Furnished Kitchen A/C,860, Female-only, Female-only, 58 days 14 hours
39.9511528,-75.2051524,4045 Pine St, Kitchen Furnished Laundry A/C Party Space,700, Female-only, Female-only, 58 days 1 hour
39.95128651,-75.19857061,3701-3777 Spruce St, Kitchen Parking Furnished Laundry A/C,750, Either, Either, 53 days 11 hours
39.95702775,-75.2127395,4541 Chestnut St, Furnished Parking Kitchen Laundry A/C,750, Either, Either, 53 days 11 hours
39.95321224,-75.2176503,4746 Spruce St, Kitchen Parking Furnished Laundry A/C,750, Either, Either, 53 days 10 hours
